league_id,league_name,country_id,tier,prior_league_names
212F,U21 Divisie 2 Herbst,122,Youth,
A2VI,National Premier League - Victoria,12,2,
AL21,Kategoria Superiore U21,3,Youth,
ANCR,Championship Round,5,PlayoffRelegation,
AND2,Segona Divisió,5,2,
"ARG1



9.0|1""",Copa de la Liga Profesional de Fútbol (- 23/24),9,1,
CH3P,League Two Promotion Stage,34,3,
CH3R,League Two Relegation Stage,34,3,
CO22,Torneo DIMAYOR II,83,2,
CO2P,Fase Final Torneo DIMAYOR I,83,PlayoffRelegation,
ES3E,Segunda División B - Grupo V (- 20/21),157,3,
ITJ8,Campionato nazionale Under 17 2020/21,75,Youth,
P232,Liga Revelação - Zweite Runde,136,Youth,
RU16,Russian U16 Youth Football League,141,Youth,
SA2L,Saudi First Division League,146,2,
SC4A,Scottish League Two Abstiegsrunde,190,PlayoffRelegation,
SC4M,Scottish League Two Meisterrunde,190,PlayoffRelegation,
SC5H,Scottish Highland Football League,190,5,
SC5L,Scottish Lowland Football League,190,5,
UZ2L,Uzbekistan Pro Liga,180,2,
181S,U18 Divisie 1 Frühling,122,Youth,
182F,U18 Divisie 2 Herbst,122,Youth,
212S,U21 Divisie 2 Frühling,122,Youth,
3PTP,Liga 3 - Finale,136,PlayoffRelegation,
ANRR,Relegation Round,5,PlayoffRelegation,
B1AP,División Profesional Apertura,23,1,
BRDF,Campeonato Brasiliense,26,StateChampionship,
BRES,Campeonato Capixaba,26,StateChampionship,
BRPB,Campeonato Paraibano,26,StateChampionship,
CB20,CBF Brasileiro U20,26,Youth,
CL3C,China League Two C,34,3,
CLPI,Copa LPF Proyección Apertura,9,Youth,
CR19,Prva HNL - Juniori,37,Youth,
CYP2,2. Division,188,2,
E3G1,Primera Federación - Grupo I,157,3,
E3G2,Primera Federación - Grupo II,157,3,
E4G1,Segunda Federación - Grupo I,157,4,
E4G2,Segunda Federación - Grupo II,157,4,
E4G3,Segunda Federación - Grupo III,157,4,
E4G4,Segunda Federación - Grupo IV,157,4,
E4G5,Segunda Federación - Grupo V,157,4,
EVAA,Eliteliga Vorarlberg Abstiegsrunde (- 2023),127,3,
FAR4,3. deild,208,4,
GZO1,Gozo Football League First Division,106,1,
LH21,Landesliga Hamburg (- 2022),40,6,
LWEE,Landesliga Weser-Ems - Endrunde,40,PlayoffRelegation,
MNP3,MLS Next Pro,184,3,
NCL1,National League - Central,120,1,
NPL1,Nepal Super League,119,1,
ORPE,Oberliga Rheinland-Pfalz/Saar - Endrunde,40,PlayoffRelegation,
PT3A,Liga 3,136,3,
RLSA,Regionalliga Salzburg Abstiegsrunde (- 2023),127,3,
WA2S,Cymru South,191,2,
